ds,y
2019-09-27,1725.4500
2019-08-30,1776.2900
2019-07-31,1866.7800
2019-06-28,1893.6300
2019-05-31,1775.0700
2019-04-30,1926.5200
2019-03-29,1780.7500
2019-02-28,1639.8300
2019-01-31,1718.7300
2018-12-31,1501.9700
2018-11-30,1690.1700
2018-10-31,1598.0100
2018-09-28,2003.0000
2018-08-31,2012.7100
2018-07-31,1777.4400
2018-06-29,1699.8000
2018-05-31,1629.6200
2018-04-30,1566.1300
2018-03-29,1447.3400
2018-02-28,1512.4500
2018-01-31,1450.8900
2017-12-29,1169.4700
2017-11-30,1176.7500
2017-10-31,1105.2800
2017-09-29,961.3500
2017-08-31,980.6000
2017-07-31,987.7800
2017-06-30,968.0000
2017-05-31,994.6200
2017-04-28,924.9900
2017-03-31,886.5400
2017-02-28,845.0400
2017-01-31,823.4800
2016-12-30,749.8700
2016-11-30,750.5700
2016-10-31,789.8200
2016-09-30,837.3100
2016-08-31,769.1600
2016-07-29,758.8100
2016-06-30,715.6200
2016-05-31,722.7900
2016-04-29,659.5900
2016-03-31,593.6400
2016-02-29,552.5200
2016-01-29,587.0000
2015-12-31,675.8900
2015-11-30,664.8000
2015-10-30,625.9000
2015-09-30,511.8900
2015-08-31,512.8900
2015-07-31,536.1500
2015-06-30,434.0900
2015-05-29,429.2300
2015-04-30,421.7800
2015-03-31,372.1000
2015-02-27,380.1600
2015-01-30,354.5300
