ds,y
2019-09-27,137.7300
2019-08-30,137.8600
2019-07-31,136.2700
2019-06-28,133.9600
2019-05-31,123.6800
2019-04-30,130.6000
2019-03-29,117.9400
2019-02-28,112.0300
2019-01-31,104.4300
2018-12-31,101.5700
2018-11-30,110.8900
2018-10-31,106.8100
2018-09-28,114.3700
2018-08-31,112.3300
2018-07-31,106.0800
2018-06-29,98.6100
2018-05-31,98.8400
2018-04-30,93.5200
2018-03-29,91.2700
2018-02-28,93.7700
2018-01-31,95.0100
2017-12-29,85.5400
2017-11-30,84.1700
2017-10-31,83.1800
2017-09-29,74.4900
2017-08-31,74.7700
2017-07-31,72.7000
2017-06-30,68.9300
2017-05-31,69.8400
2017-04-28,68.4600
2017-03-31,65.8600
2017-02-28,63.9800
2017-01-31,64.6500
2016-12-30,62.1400
2016-11-30,60.2600
2016-10-31,59.9200
2016-09-30,57.6000
2016-08-31,57.4600
2016-07-29,56.6800
2016-06-30,51.1700
2016-05-31,53.0000
2016-04-29,49.8700
2016-03-31,55.2300
2016-02-29,50.8800
2016-01-29,55.0900
2015-12-31,55.4800
2015-11-30,54.3500
2015-10-30,52.6400
2015-09-30,44.2600
2015-08-31,43.5200
2015-07-31,46.7000
2015-06-30,44.1500
2015-05-29,46.8600
2015-04-30,48.6400
2015-03-31,40.6550
2015-02-27,43.8500
2015-01-30,40.4000
